country,province,area,zone,munic,code,price_raw
ES,48,01,003,902,48902,370.0
ES,48,01,004,011,48011,245.0
ES,48,01,004,912,48912,275.0
ES,48,01,005,044,48044,375.0
ES,48,01,006,054,48054,325.0
ES,48,01,007,013,48013,300.5
ES,48,01,008,084,48084,250.0
ES,48,01,009,082,48082,300.0
ES,48,01,010,078,48078,350.0
ES,48,01,011,015,48015,252.5
ES,48,01,012,036,48036,270.0
ES,48,01,015,901,48901,300.0
ES,48,01,015,903,48903,250.0
ES,48,01,016,071,48071,312.5
ES,48,01,018,080,48080,320.0
ES,48,02,001,043,48043,350.0
ES,48,02,002,085,48085,300.0
ES,48,02,004,089,48089,340.0
ES,48,02,005,038,48038,310.0
ES,48,02,005,064,48064,300.0
ES,48,02,005,069,48069,300.0
ES,48,03,001,017,48017,250.0
ES,48,03,003,046,48046,200.0
ES,48,04,001,915,48915,250.0
ES,48,05,001,003,48003,300.0
ES,48,05,002,027,48027,240.0
ES,48,05,003,032,48032,250.0
ES,48,05,004,095,48095,315.0
ES,48,06,001,065,48065,230.0
ES,48,06,004,025,48025,220.0
ES,48,06,004,075,48075,212.5
ES,48,07,002,090,48090,300.0
ES,49,01,001,275,49275,150.0
ES,49,02,001,219,49219,150.0
ES,50,02,001,165,50165,250.0
ES,50,08,001,095,50095,170.0
ES,50,08,001,252,50252,100.0
ES,50,14,003,008,50008,300.0
ES,50,17,001,297,50297,250.0
ES,50,17,002,272,50272,225.0
ES,50,17,003,089,50089,232.5
ES,50,17,003,131,50131,230.0
ES,50,17,004,219,50219,205.0
ES,50,17,005,235,50235,250.0
ES,50,17,005,288,50288,300.0
ES,51,01,001,001,51001,290.0
ES,52,01,001,001,52001,300.0
